date,value
2024-01-01 00:00:00,4.449322
2024-01-01 01:00:00,2.273191
2024-01-01 02:00:00,3.866275
2024-01-01 03:00:00,3.381466
2024-01-01 04:00:00,0.021858
2024-01-01 05:00:00,0.094994
2024-01-01 06:00:00,3.360179
2024-01-01 07:00:00,2.218078
2024-01-01 08:00:00,0.046497
2024-01-01 09:00:00,3.829267
2024-01-01 10:00:00,4.375468
2024-01-01 11:00:00,3.589498
2024-01-01 12:00:00,3.068382
2024-01-01 13:00:00,2.362412
2024-01-01 14:00:00,1.706882
2024-01-01 15:00:00,3.179445
2024-01-01 16:00:00,3.813649
2024-01-01 17:00:00,3.044816
2024-01-01 18:00:00,2.78619
2024-01-01 19:00:00,2.831531
2024-01-01 20:00:00,3.951067
2024-01-01 21:00:00,4.279957
2024-01-01 22:00:00,3.322101
2024-01-01 23:00:00,3.411669
2024-01-02 00:00:00,1.875971
2024-01-02 01:00:00,2.900169
2024-01-02 02:00:00,0.506881
2024-01-02 03:00:00,0.235296
2024-01-02 04:00:00,3.769542
2024-01-02 05:00:00,1.983833
2024-01-02 06:00:00,0.0
2024-01-02 07:00:00,0.0
2024-01-02 08:00:00,0.0
2024-01-02 09:00:00,0.0
2024-01-02 10:00:00,1.565975
2024-01-02 11:00:00,3.305964
2024-01-02 12:00:00,2.914298
2024-01-02 13:00:00,1.776248
2024-01-02 14:00:00,3.339958
2024-01-02 15:00:00,3.09223
2024-01-02 16:00:00,3.994814
2024-01-02 17:00:00,2.905772
2024-01-02 18:00:00,3.205442
2024-01-02 19:00:00,3.077685
2024-01-02 20:00:00,4.568284
2024-01-02 21:00:00,4.387755
2024-01-02 22:00:00,2.416336
2024-01-02 23:00:00,5.516412
2024-01-03 00:00:00,2.743476
2024-01-03 01:00:00,3.267625
2024-01-03 02:00:00,2.58705
2024-01-03 03:00:00,3.109854
2024-01-03 04:00:00,1.542004
2024-01-03 05:00:00,3.747534
2024-01-03 06:00:00,1.499959
2024-01-03 07:00:00,1.915386
2024-01-03 08:00:00,2.511146
2024-01-03 09:00:00,1.892225
2024-01-03 10:00:00,5.8041
2024-01-03 11:00:00,5.523932
2024-01-03 12:00:00,4.037864
2024-01-03 13:00:00,4.874257
2024-01-03 14:00:00,4.340715
2024-01-03 15:00:00,3.041694
2024-01-03 16:00:00,3.291675
2024-01-03 17:00:00,4.865661
2024-01-03 18:00:00,3.259393
2024-01-03 19:00:00,3.620663
2024-01-03 20:00:00,4.322675
2024-01-03 21:00:00,2.59323
2024-01-03 22:00:00,3.266469
2024-01-03 23:00:00,3.020401
2024-01-04 00:00:00,3.495163
2024-01-04 01:00:00,3.564184
2024-01-04 02:00:00,1.594447
2024-01-04 03:00:00,5.030079
2024-01-04 04:00:00,3.745476
2024-01-04 05:00:00,3.038878
2024-01-04 06:00:00,1.486775
2024-01-04 07:00:00,2.993161
2024-01-04 08:00:00,2.786506
2024-01-04 09:00:00,3.867982
2024-01-04 10:00:00,2.607786
2024-01-04 11:00:00,3.590552
2024-01-04 12:00:00,3.467471
2024-01-04 13:00:00,3.334669
2024-01-04 14:00:00,3.250623
2024-01-04 15:00:00,2.874666
2024-01-04 16:00:00,1.848889
2024-01-04 17:00:00,3.991103
2024-01-04 18:00:00,2.418093
2024-01-04 19:00:00,3.492009
2024-01-04 20:00:00,2.74071
2024-01-04 21:00:00,3.162368
2024-01-04 22:00:00,3.592243
2024-01-04 23:00:00,2.256512
2024-01-05 00:00:00,3.096776
2024-01-05 01:00:00,4.278526
2024-01-05 02:00:00,3.625213
2024-01-05 03:00:00,3.357678
2024-01-05 04:00:00,4.416495
2024-01-05 05:00:00,2.48256
2024-01-05 06:00:00,2.825074
2024-01-05 07:00:00,2.471142
2024-01-05 08:00:00,2.103818
2024-01-05 09:00:00,4.068567
2024-01-05 10:00:00,3.989513
2024-01-05 11:00:00,3.34793
2024-01-05 12:00:00,3.654857
2024-01-05 13:00:00,3.610262
2024-01-05 14:00:00,2.98363
2024-01-05 15:00:00,3.29368
2024-01-05 16:00:00,2.968583
2024-01-05 17:00:00,0.155621
2024-01-05 18:00:00,2.566367
2024-01-05 19:00:00,2.70295
2024-01-05 20:00:00,2.609168
2024-01-05 21:00:00,2.982337
2024-01-05 22:00:00,3.37635
2024-01-05 23:00:00,4.136733
2024-01-06 00:00:00,2.737618
2024-01-06 01:00:00,4.414846
2024-01-06 02:00:00,2.503945
2024-01-06 03:00:00,4.175645
2024-01-06 04:00:00,3.533765
2024-01-06 05:00:00,3.133684
2024-01-06 06:00:00,1.708414
2024-01-06 07:00:00,1.277013
2024-01-06 08:00:00,4.523247
2024-01-06 09:00:00,0.0
2024-01-06 10:00:00,3.568243
2024-01-06 11:00:00,2.917327
2024-01-06 12:00:00,5.75115
2024-01-06 13:00:00,4.250106
2024-01-06 14:00:00,3.638681
2024-01-06 15:00:00,5.316327
2024-01-06 16:00:00,1.258842
2024-01-06 17:00:00,4.719741
2024-01-06 18:00:00,3.3606
2024-01-06 19:00:00,3.596184
2024-01-06 20:00:00,0.705475
2024-01-06 21:00:00,0.448424
