date,value
2024-01-01,6.049
2024-01-02,3.549
2024-01-03,5.329
2024-01-04,2.75
2024-01-05,7.76
2024-01-06,10.856
2024-01-07,6.674
2024-01-08,8.432
2024-01-09,9.681
2024-01-10,11.348
2024-01-11,8.818
2024-01-12,9.234
2024-01-13,9.285
2024-01-14,7.281
2024-01-15,7.152
2024-01-16,9.05
2024-01-17,8.009
2024-01-18,9.547
2024-01-19,4.32
2024-01-20,7.486
2024-01-21,6.881
2024-01-22,3.699
2024-01-23,5.816
2024-01-24,6.936
2024-01-25,5.275
2024-01-26,9.425
2024-01-27,6.644
2024-01-28,5.458
2024-01-29,4.698
