date,运营值,预测值(旧),预测值(新)
2024-01-13,63.4,68.416,68.32
2024-01-14,40.7,68.532,56.5
2024-01-15,59.6,66.832,54.54
2024-01-16,80.1,66.674,69.58
2024-01-17,72.3,67.686,63.33
2024-01-18,71.5,68.494,60.74
2024-01-19,62.0,69.047,54.9
2024-01-20,59.2,69.06,61.62
2024-01-21,35.3,68.859,54.04
2024-01-22,58.8,67.427,47.31
2024-01-23,68.3,67.268,63.13
2024-01-24,65.5,67.539,71.82
2024-01-25,62.7,67.746,61.12
2024-01-26,58.7,67.805,59.62
2024-01-27,59.0,67.679,69.73
2024-01-28,35.4,67.574,57.51
2024-01-29,63.7,66.554,51.94
