date,value
2024-01-01,12.324
2024-01-02,13.957
2024-01-03,16.054
2024-01-04,15.71
2024-01-05,15.499
2024-01-06,16.636
2024-01-07,15.782
2024-01-08,14.638
2024-01-09,14.769
2024-01-10,14.848
2024-01-11,15.455
2024-01-12,13.819
2024-01-13,14.679
2024-01-14,15.22
2024-01-15,2.677
2024-01-16,14.244
2024-01-17,15.546
2024-01-18,15.959
2024-01-19,14.87
2024-01-20,13.879
2024-01-21,11.089
2024-01-22,15.188
2024-01-23,13.168
2024-01-24,14.262
2024-01-25,14.519
2024-01-26,12.944
2024-01-27,13.22
2024-01-28,13.883
2024-01-29,13.227
2024-01-30,11.87
2024-01-31,2.346
2024-02-01,10.909
2024-02-02,10.332
2024-02-03,9.148
2024-02-04,7.108
2024-02-05,2.346
2024-02-06,7.969
2024-02-07,5.902
2024-02-08,4.496
2024-02-09,3.753
2024-02-10,3.671
2024-02-11,4.476
2024-02-12,0.576
2024-02-13,3.302
2024-02-14,5.435
2024-02-15,6.698
2024-02-16,6.369
2024-02-17,0.576
2024-02-18,6.029
2024-02-19,9.701
2024-02-20,10.488
2024-02-21,5.051
