date,真实值,ARIMA
2024-01-01,12.324,
2024-01-02,13.957,
2024-01-03,16.054,
2024-01-04,15.71,
2024-01-05,15.499,
2024-01-06,16.636,
2024-01-07,15.782,
2024-01-08,14.638,
2024-01-09,14.769,
2024-01-10,14.848,
2024-01-11,15.455,
2024-01-12,13.819,
2024-01-13,14.679,
2024-01-14,15.22,
2024-01-15,2.677,
2024-01-16,14.244,
2024-01-17,15.546,
2024-01-18,15.959,
2024-01-19,14.87,
2024-01-20,13.879,
2024-01-21,11.089,
2024-01-22,15.188,16.31
2024-01-23,13.168,13.56
2024-01-24,14.262,16.61
2024-01-25,14.519,14.47
2024-01-26,12.944,15.02
2024-01-27,13.22,14.99
2024-01-28,13.883,14.98
2024-01-29,13.227,14.99
2024-01-30,11.87,14.97
2024-01-31,2.346,14.9
