date,真实值,LSTM
2024-01-01,18.735,
2024-01-02,20.206,
2024-01-03,21.646,
2024-01-04,22.021,
2024-01-05,22.315,
2024-01-06,18.735,
2024-01-07,21.677,
2024-01-08,24.527,
2024-01-09,23.146,
2024-01-10,23.489,
2024-01-11,23.628,
2024-01-12,24.38,
2024-01-13,24.135,
2024-01-14,21.254,
2024-01-15,23.207,
2024-01-16,25.963,
2024-01-17,3.466,
2024-01-18,24.224,
2024-01-19,26.379,
2024-01-20,24.857,
2024-01-21,25.432,
2024-01-22,24.58,24.059423446655277
2024-01-23,9.577,24.05942726135254
2024-01-24,21.188,24.05949592590332
2024-01-25,25.995,24.0594482421875
2024-01-26,25.056,24.059419631958008
2024-01-27,24.31,24.059423446655277
2024-01-28,22.975,24.059431076049805
2024-01-29,20.593,24.059438705444336
2024-01-30,25.309,24.05945205688477
2024-01-31,23.393,24.059423446655277
